ID,quality-score,pixels added through insertion/deletion,total number of changed pixels,pixels total in original,changed pixels as percent of pixels in original,number of pixels in bigger image,changed pixels as percent of pixels in bigger image,insertion-deletion-error,total-number-of-changed-pixels,pixels-total-in-original,changed-pixels-as-percent-of-pixels-in-original,number-of-pixels-in-bigger-image,changed-pixels-as-percent-of-pixels-in-bigger-image,count,shifts total,shiftsToTop,shiftsToTopRight,shiftsToRight,shiftsToBottomRight,shiftsToBottom,shiftsToBottomLeft,shiftsToLeft,shiftsToTopLeft,small shifts total,small shiftsToTop,small shiftsToTopRight,small shiftsToRight,small shiftsToBottomRight,small shiftsToBottom,small shiftsToBottomLeft,small shiftsToLeft,small shiftsToTopLeft,big shifts total,big shiftsToTop,big shiftsToTopRight,big shiftsToRight,big shiftsToBottomRight,big shiftsToBottom,big shiftsToBottomLeft,big shiftsToLeft,big shiftsToTopLeft
102,1,0,0,1390588,0.0,1390588,0.0,0,0,1390588,0.0,1390588,0.0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,0,0,1390588,0.0,1390588,0.0,0,0,1390588,0.0,1390588,0.0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2,0,24932,2195162,1.1357704,2195162,1.1357704,0,24932,2195162,1.1357704,2195162,1.1357704,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2,0,513958,5966688,8.6137905,5966688,8.6137905,0,513958,5966688,8.6137905,5966688,8.6137905,2494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1,0,638876,6170222,10.354181,6170222,10.354181,0,638876,6170222,10.354181,6170222,10.354181,2511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2,0,515167,4229136,12.181377000000001,4229136,12.181377000000001,0,515167,4229136,12.181377000000001,4229136,12.181377000000001,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2,0,514943,5565084,9.253103999999999,5565084,9.253103999999999,0,514943,5565084,9.253103999999999,5565084,9.253103999999999,2479,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
207,1,1366,538679,1804486,29.852213,1804486,29.852213,0,2637,1804486,0.14613579,1804486,0.14613579,437,47,47,0,0,0,0,0,0,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,1,1366,544315,1804486,30.164545,1804486,30.164545,0,2629,1804486,0.14569245,1804486,0.14569245,404,48,48,0,0,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,2,374284,1596355,5010488,31.860271,5010488,31.860271,0,1579392,5010488,31.521720000000002,5010488,31.521720000000002,1068,16,0,0,16,0,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2,857848,2480720,5446242,45.549206,5446242,45.549206,0,2465286,5446242,45.26582,5446242,45.26582,1102,16,0,0,16,0,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,1,0,24237,1753944,1.3818572,1753944,1.3818572,0,24237,1753944,1.3818572,1753944,1.3818572,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,1,0,0,1736186,0.0,1736186,0.0,0,0,1736186,0.0,1736186,0.0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,2,441218,884367,3286596,26.908298,3286596,26.908298,0,784975,3286596,23.884135999999998,3286596,23.884135999999998,881,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0
382,2,113378,473491,3033886,15.60675,3033886,15.60675,0,58197,3033886,1.9182328999999998,3033886,1.9182328999999998,369,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0
392,1,0,132738,5763154,2.303218,5763154,2.303218,0,132738,5763154,2.303218,5763154,2.303218,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,1,0,4460,905658,0.49245963,905658,0.49245963,0,4460,905658,0.49245963,905658,0.49245963,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,1,0,0,2038072,0.0,2038072,0.0,0,0,2038072,0.0,2038072,0.0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,1,0,16392,8355822,0.19617459,8355822,0.19617459,0,16392,8355822,0.19617459,8355822,0.19617459,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,1,0,0,2673262,0.0,2673262,0.0,0,0,2673262,0.0,2673262,0.0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,1,1366,57912,2848110,2.0333483,2849476,2.0323737,0,56546,2848110,1.9853868000000001,2848110,1.9853868000000001,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,1,353794,624850,6524016,9.577689,6524016,9.577689,0,609903,6524016,9.348582,6524016,9.348582,715,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
493,1,20490,34084,9385786,0.36314487,9385786,0.36314487,0,34084,9385786,0.36314487,9385786,0.36314487,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,2,0,105662,1547678,6.827131,1547678,6.827131,0,105662,1547678,6.827131,1547678,6.827131,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,2,122940,1164964,2878162,40.475970000000004,2878162,40.475970000000004,0,819631,2878162,28.477584999999998,2878162,28.477584999999998,1387,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0
534,1,0,5900,22380544,0.026362182999999997,22380544,0.026362182999999997,0,5900,22380544,0.026362182999999997,22380544,0.026362182999999997,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,1,0,3964,1803120,0.21984117,1803120,0.21984117,0,3964,1803120,0.21984117,1803120,0.21984117,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,1,0,1585,3338504,0.047476355,3338504,0.047476355,0,1585,3338504,0.047476355,3338504,0.047476355,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,2,930246,1988386,6047282,32.880653,6047282,32.880653,0,1956510,6047282,32.353546,6047282,32.353546,489,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
574,1,0,0,1527188,0.0,1527188,0.0,0,0,1527188,0.0,1527188,0.0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,1,0,45115,2132326,2.1157646,2132326,2.1157646,0,45115,2132326,2.1157646,2132326,2.1157646,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,1,13660,33815,1512162,2.2362022,1512162,2.2362022,0,33815,1512162,2.2362022,1512162,2.2362022,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,2,770424,3394867,11466204,29.607591999999997,11466204,29.607591999999997,0,3069378,11466204,26.768911,11466204,26.768911,1080,21,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,1
640,1,0,3580,3712788,0.0964235,3712788,0.0964235,0,3580,3712788,0.0964235,3712788,0.0964235,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,1,0,5126,1723892,0.2973504,1723892,0.2973504,0,5126,1723892,0.2973504,1723892,0.2973504,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,1,0,0,3744206,0.0,3744206,0.0,0,0,3744206,0.0,3744206,0.0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,2,1498502,5044282,9969068,50.599334999999996,9969068,50.599334999999996,0,4903744,9969068,49.189594,9969068,49.189594,1078,75,4,1,0,0,1,8,51,10,53,0,0,0,0,0,2,51,0,9,4,0,0,0,1,3,0,1
681,2,1428836,4767957,8884464,53.666233,8884464,53.666233,0,4702057,8884464,52.924488000000004,8884464,52.924488000000004,1022,73,1,0,0,0,0,1,54,17,54,0,0,0,0,0,0,54,0,3,1,0,0,0,0,1,0,1
682,2,1457522,5269076,11277696,46.721207,11277696,46.721207,0,4964826,11277696,44.023407,11277696,44.023407,1049,91,1,0,0,0,0,6,67,17,67,0,0,0,0,0,0,67,0,4,1,0,0,0,0,1,0,2
683,2,2290782,5689607,9925356,57.32396,9925356,57.32396,0,5615204,9925356,56.574332999999996,9925356,56.574332999999996,1030,72,0,0,0,0,1,7,61,3,61,0,0,0,0,0,0,61,0,5,0,0,0,0,1,2,0,2
686,1,0,28605,2449238,1.1679143,2449238,1.1679143,0,28605,2449238,1.1679143,2449238,1.1679143,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,1,0,0,4536486,0.0,4536486,0.0,0,0,4536486,0.0,4536486,0.0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,1,0,2054,2793470,0.073528625,2793470,0.073528625,0,2054,2793470,0.073528625,2793470,0.073528625,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,1,0,234,905658,0.025837568999999998,905658,0.025837568999999998,0,234,905658,0.025837568999999998,905658,0.025837568999999998,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
733,2,467172,2916610,3136336,92.99418,3136336,92.99418,0,2915482,3136336,92.95821,3136336,92.95821,1257,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
734,2,392042,2014974,4513264,44.645607,4513264,44.645607,0,1307266,4513264,28.964979999999997,4513264,28.964979999999997,1563,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0
737,1,0,97060,5474928,1.7728087,5474928,1.7728087,0,97060,5474928,1.7728087,5474928,1.7728087,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,1,0,399980,10326960,3.873163,10326960,3.873163,0,399980,10326960,3.873163,10326960,3.873163,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,4,17044948,19161668,22185206,86.371376,22185206,86.371376,0,19109304,22185206,86.135345,22185206,86.135345,1527,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
753,2,0,302436,1857760,16.279606,1857760,16.279606,0,302436,1857760,16.279606,1857760,16.279606,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757,2,0,188773,22380544,0.8434691999999999,22380544,0.8434691999999999,0,188773,22380544,0.8434691999999999,22380544,0.8434691999999999,3451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,1,0,12,1506698,0.0007964436,1506698,0.0007964436,0,12,1506698,0.0007964436,1506698,0.0007964436,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,2,248612,1128059,2514806,44.8567,2514806,44.8567,0,1109673,2514806,44.125587,2514806,44.125587,479,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0
801,2,0,344361,3516084,9.793878999999999,3516084,9.793878999999999,0,344361,3516084,9.793878999999999,3516084,9.793878999999999,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,2,0,275616,3782454,7.2866979999999995,3782454,7.2866979999999995,0,264835,3782454,7.0016713,3782454,7.0016713,855,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0
803,2,0,275456,3516084,7.834169999999999,3516084,7.834169999999999,0,275456,3516084,7.834169999999999,3516084,7.834169999999999,876,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
804,2,0,290271,3669076,7.911283500000001,3669076,7.911283500000001,0,290271,3669076,7.911283500000001,3669076,7.911283500000001,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,1,0,11462,1607782,0.7129076,1607782,0.7129076,0,11462,1607782,0.7129076,1607782,0.7129076,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,4,0,371309,1013572,36.63371,1013572,36.63371,0,371309,1013572,36.63371,1013572,36.63371,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,1,236318,998090,5365648,18.60148,5601966,17.816779999999998,0,330224,5365648,6.154410400000001,5365648,6.154410400000001,577,90,0,0,90,0,0,0,0,0,90,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886,3,113378,597528,10479952,5.7016290000000005,10479952,5.7016290000000005,0,113673,10479952,1.084671,10479952,1.084671,829,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0
889,1,113378,618009,5828722,10.602821,5828722,10.602821,0,224445,5828722,3.8506725,5828722,3.8506725,785,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0
