ID,quality-score,pixels added through insertion/deletion,total number of changed pixels,pixels total in original,changed pixels as percent of pixels in original,number of pixels in bigger image,changed pixels as percent of pixels in bigger image,insertion-deletion-error,total-number-of-changed-pixels,pixels-total-in-original,changed-pixels-as-percent-of-pixels-in-original,number-of-pixels-in-bigger-image,changed-pixels-as-percent-of-pixels-in-bigger-image,count,shifts total,shiftsToTop,shiftsToTopRight,shiftsToRight,shiftsToBottomRight,shiftsToBottom,shiftsToBottomLeft,shiftsToLeft,shiftsToTopLeft,small shifts total,small shiftsToTop,small shiftsToTopRight,small shiftsToRight,small shiftsToBottomRight,small shiftsToBottom,small shiftsToBottomLeft,small shiftsToLeft,small shiftsToTopLeft,big shifts total,big shiftsToTop,big shiftsToTopRight,big shiftsToRight,big shiftsToBottomRight,big shiftsToBottom,big shiftsToBottomLeft,big shiftsToLeft,big shiftsToTopLeft
168,2,478100,1723505,4089804,42.141506,4567904,37.730762,0,1230631,4089804,30.090221000000003,4089804,30.090221000000003,1034,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0
169,2,478100,1625153,4089804,39.736694,4567904,35.577652,0,967100,4089804,23.64661,4089804,23.64661,1108,32,0,0,0,0,31,0,1,0,9,0,0,0,0,9,0,0,0,23,0,0,0,0,22,0,1,0
345,5,5659338,8377110,9305192,90.02619,9305192,90.02619,0,8367451,9305192,89.922386,9305192,89.922386,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,2,596942,1255856,3174584,39.559703999999996,3174584,39.559703999999996,0,1255856,3174584,39.559703999999996,3174584,39.559703999999996,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,2,0,795120,2800300,28.3941,2800300,28.3941,0,795120,2800300,28.3941,2800300,28.3941,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,1,0,5712,22380544,0.025522169,22380544,0.025522169,0,5712,22380544,0.025522169,22380544,0.025522169,8396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,1,0,0,2286684,0.0,2286684,0.0,0,0,2286684,0.0,2286684,0.0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,2,0,420909,3712788,11.336737,3712788,11.336737,0,424092,3712788,11.422467,3712788,11.422467,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,1,19124,433276,2066758,20.96404,2066758,20.96404,0,132820,2066758,6.4264903,2066758,6.4264903,578,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,0,0,0,0,0,0,0
414,1,0,10,3298890,0.00030313226,3298890,0.00030313226,0,10,3298890,0.00030313226,3298890,0.00030313226,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
